Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
TE,Tucker Kraft (44038595),Tucker Kraft,44038595,TE/FLEX,4500,GB@MIN 09/13/2026 04:25PM ET,GB,15.4,Q
QB,Riley Leonard (44037539),Riley Leonard,44037539,QB,4400,BAL@IND 09/13/2026 01:00PM ET,IND,6.8,
QB,Joe Flacco (44037540),Joe Flacco,44037540,QB,4400,TB@CIN 09/13/2026 01:00PM ET,CIN,12.7,
RB,Trey Benson (44037747),Trey Benson,44037747,RB/FLEX,4400,ARI@LAC 09/13/2026 04:25PM ET,ARI,8.9,IR
RB,Devin Neal (44037749),Devin Neal,44037749,RB/FLEX,4400,NO@DET 09/13/2026 01:00PM ET,NO,6,OUT
RB,Demond Claiborne (44037751),Demond Claiborne,44037751,RB/FLEX,4400,GB@MIN 09/13/2026 04:25PM ET,MIN,0,
RB,Kaleb Johnson (44037753),Kaleb Johnson,44037753,RB/FLEX,4400,GB@MIN 09/13/2026 04:25PM ET,GB,0.9,
WR,Denzel Boston (44038097),Denzel Boston,44038097,WR/FLEX,4400,CLE@JAX 09/13/2026 01:00PM ET,CLE,0,
WR,Jalen McMillan (44038099),Jalen McMillan,44038099,WR/FLEX,4400,TB@CIN 09/13/2026 01:00PM ET,TB,8.2,Q
WR,Rashid Shaheed (44038101),Rashid Shaheed,44038101,WR/FLEX,4400,NE@SEA 09/09/2026 08:20PM ET,SEA,8.6,
TE,Sam LaPorta (44038597),Sam LaPorta,44038597,TE/FLEX,4400,NO@DET 09/13/2026 01:00PM ET,DET,11.9,Q
QB,Tyler Huntley (44037541),Tyler Huntley,44037541,QB,4300,BAL@IND 09/13/2026 01:00PM ET,BAL,8,
QB,Jarrett Stidham (44037542),Jarrett Stidham,44037542,QB,4300,DEN@KC 09/14/2026 08:15PM ET,DEN,4.8,
RB,Najee Harris (44037755),Najee Harris,44037755,RB/FLEX,4300,DAL@NYG 09/13/2026 08:20PM ET,NYG,3.9,
RB,Malik Davis (44037757),Malik Davis,44037757,RB/FLEX,4300,DAL@NYG 09/13/2026 08:20PM ET,DAL,4.4,
RB,Jonah Coleman (44037759),Jonah Coleman,44037759,RB/FLEX,4300,DEN@KC 09/14/2026 08:15PM ET,DEN,0,
RB,LeQuint Allen Jr. (44037761),LeQuint Allen Jr.,44037761,RB/FLEX,4300,CLE@JAX 09/13/2026 01:00PM ET,JAX,1.5,Q
RB,Jeremy McNichols (44037763),Jeremy McNichols,44037763,RB/FLEX,4300,WAS@PHI 09/13/2026 04:25PM ET,WAS,4.3,IR
RB,Seth McGowan (44037765),Seth McGowan,44037765,RB/FLEX,4300,BAL@IND 09/13/2026 01:00PM ET,IND,0,
RB,DJ Giddens (44037767),DJ Giddens,44037767,RB/FLEX,4300,BAL@IND 09/13/2026 01:00PM ET,IND,1.1,
WR,Malachi Fields (44038103),Malachi Fields,44038103,WR/FLEX,4300,DAL@NYG 09/13/2026 08:20PM ET,NYG,0,
WR,Jalen Nailor (44038105),Jalen Nailor,44038105,WR/FLEX,4300,MIA@LV 09/13/2026 04:25PM ET,LV,6.1,
WR,Jauan Jennings (44038107),Jauan Jennings,44038107,WR/FLEX,4300,GB@MIN 09/13/2026 04:25PM ET,MIN,11.1,
TE,Isaiah Likely (44038599),Isaiah Likely,44038599,TE/FLEX,4300,DAL@NYG 09/13/2026 08:20PM ET,NYG,4.5,
QB,Davis Mills (44037543),Davis Mills,44037543,QB,4200,BUF@HOU 09/13/2026 01:00PM ET,HOU,11.6,
RB,Isaiah Davis (44037769),Isaiah Davis,44037769,RB/FLEX,4200,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,4.5,Q
RB,James Conner (44037771),James Conner,44037771,RB/FLEX,4200,ARI@LAC 09/13/2026 04:25PM ET,ARI,11.1,IR
RB,Ty Johnson (44037773),Ty Johnson,44037773,RB/FLEX,4200,BUF@HOU 09/13/2026 01:00PM ET,BUF,5.9,Q
