Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership
Kayshon Boutte,WR,NE,SEA,4.63,5.77,1.288,0.703,1.246,22.87,7.08,4500.0,0.005
Cedric Tillman,WR,CLE,JAX,4.52,4.72,1.097,0.777,1.044,18.708,4.59,3400.0,0.005
Pat Freiermuth,TE,PIT,ATL,4.48,5.39,1.204,0.834,1.203,21.363,6.34,3400.0,0.005
DeMario Douglas,WR,NE,SEA,4.48,5.2,1.197,0.777,1.161,20.61,5.17,3300.0,0.005
Jakobi Meyers,WR,JAX,CLE,4.48,5.61,1.291,0.731,1.252,22.235,4.72,5000.0,0.005
Evan Engram,TE,DEN,KC,4.46,5.29,1.199,0.792,1.186,20.967,3.88,3400.0,0.005
TreVeyon Henderson,RB,NE,SEA,4.43,4.78,1.12,0.542,1.079,18.946,9.26,5200.0,0.005
Darnell Washington,TE,PIT,ATL,4.42,4.83,1.094,0.756,1.093,19.144,3.16,3000.0,0.005
Tyler Higbee,TE,LAR,SF,4.39,4.85,1.098,0.781,1.105,19.223,5.66,3200.0,0.005
Brevyn Spann-Ford,TE,DAL,NYG,4.38,4.82,1.109,0.869,1.1,19.104,2.19,2900.0,0.005
Hunter Henry,TE,NE,SEA,4.34,5.0,1.192,0.738,1.152,19.818,7.12,3800.0,0.005
Lil'Jordan Humphrey,WR,DEN,KC,4.32,5.07,1.184,0.669,1.174,20.095,4.99,3200.0,0.005
Tez Johnson,WR,TB,CIN,4.3,4.82,1.092,0.739,1.121,19.104,6.51,3100.0,0.005
Gunnar Helm,TE,TEN,NYJ,4.28,4.85,1.101,0.805,1.133,19.223,3.99,3200.0,0.005
Joe Milton III,QB,DAL,NYG,4.28,5.19,1.22,0.104,1.213,20.571,3.73,4000.0,0.005
Ian Thomas,TE,LV,MIA,4.28,4.86,1.108,0.863,1.136,19.263,2.45,2500.0,0.005
Drew Sample,TE,CIN,TB,4.25,4.73,1.11,0.884,1.113,18.748,2.85,2600.0,0.005
Pat Bryant,WR,DEN,KC,4.24,4.59,1.094,0.752,1.083,18.193,4.0,4200.0,0.005
Brock Wright,TE,DET,NO,4.23,5.04,1.193,0.744,1.191,19.976,4.21,2900.0,0.005
Kendre Miller,RB,NO,DET,4.21,4.79,1.143,0.749,1.138,18.985,3.91,4000.0,0.005
Moliki Matavao,TE,NO,DET,4.14,4.65,1.125,1.0,1.123,18.43,6.09,2500.0,0.005
Xavier Worthy,WR,KC,DEN,4.1,4.8,1.196,0.767,1.171,19.025,4.52,4500.0,0.005
Darius Cooper,WR,PHI,WAS,4.08,4.6,1.099,0.793,1.127,18.232,2.13,3000.0,0.005
Casey Washington,WR,ATL,PIT,4.04,4.49,1.102,0.819,1.111,17.796,2.25,3000.0,0.005
Bhayshul Tuten,RB,JAX,CLE,4.0,4.13,1.051,0.763,1.032,16.369,4.76,5800.0,0.005
Ben Sinnott,TE,WAS,PHI,3.94,4.48,1.197,0.772,1.137,17.757,2.37,2800.0,0.005
Tyquan Thornton,WR,KC,DEN,3.93,4.19,1.089,0.714,1.066,16.607,5.71,3500.0,0.005
KeAndre Lambert-Smith,WR,LAC,ARI,3.86,4.35,1.106,0.846,1.127,17.241,2.84,3000.0,0.005
Jaylen Waddle,WR,MIA,LV,3.86,5.02,1.283,0.662,1.301,19.897,6.87,6300.0,0.005
Malachi Corley,WR,CLE,JAX,3.84,4.01,1.1,0.802,1.044,15.894,1.88,3000.0,0.005
Jeremy McNichols,RB,WAS,PHI,3.83,3.97,1.061,0.743,1.037,15.735,3.79,4300.0,0.005
Brashard Smith,RB,KC,DEN,3.82,3.87,1.025,0.593,1.013,15.339,4.01,4000.0,0.005
Shane Buechele,QB,KC,DEN,3.74,4.1,1.12,1.0,1.096,16.25,9.24,4000.0,0.005
Ricky Pearsall,WR,SF,LA,3.72,4.28,1.187,0.694,1.151,16.964,6.89,3000.0,0.005
Jawhar Jordan,RB,HOU,BUF,3.72,4.19,1.12,0.47,1.126,16.607,6.51,4500.0,0.005
Jordan Addison,WR,MIN,GB,3.66,4.37,1.178,0.623,1.194,17.321,5.66,5800.0,0.005
Sean Tucker,RB,TB,CIN,3.62,3.77,1.02,0.613,1.041,14.943,8.24,4700.0,0.005
Rashid Shaheed,WR,SEA,NE,3.59,4.22,1.182,0.654,1.175,16.726,5.4,4400.0,0.005
Jordan Watkins,WR,SF,LA,3.58,3.88,1.117,0.94,1.084,15.379,0.85,3300.0,0.005
Ben Sims,TE,MIN,GB,3.54,4.3,1.201,0.806,1.215,17.043,0.75,2500.0,0.005
Tanner McKee,QB,PHI,WAS,3.53,4.41,1.22,0.0,1.249,17.479,6.27,4000.0,0.005
Najee Harris,RB,LAC,ARI,3.52,4.02,1.127,0.654,1.142,15.933,2.57,4300.0,0.005
Mason Tipton,WR,NO,DET,3.49,3.84,1.101,0.809,1.1,15.22,3.35,3000.0,0.005
Luke Schoonmaker,TE,DAL,NYG,3.46,3.83,1.116,0.926,1.107,15.18,1.43,2500.0,0.005
Adonai Mitchell,WR,NYJ,TEN,3.42,4.47,1.269,0.551,1.307,17.717,6.79,4000.0,0.005
Jack Bech,WR,LV,MIA,3.38,4.13,1.193,0.743,1.222,16.369,3.17,3600.0,0.005
Noah Gray,TE,KC,DEN,3.35,3.92,1.196,0.765,1.17,15.537,2.03,3000.0,0.005
Nate Carter,RB,ATL,PIT,3.33,3.42,1.029,0.736,1.027,13.555,0.85,4000.0,0.005
Stone Smartt,TE,NYJ,TEN,3.31,3.73,1.094,0.751,1.127,14.784,3.47,2500.0,0.005
Shane Zylstra,TE,DET,NO,3.3,3.71,1.125,1.0,1.124,14.705,6.09,2500.0,0.005
Luke Musgrave,TE,GB,MIN,3.29,3.49,1.102,0.814,1.061,13.833,2.57,3000.0,0.005
Hunter Luepke,RB,DAL,NYG,3.29,3.59,1.071,0.847,1.091,14.229,2.83,4000.0,0.005
Keaton Mitchell,RB,BAL,IND,3.26,3.42,1.051,0.731,1.049,13.555,3.27,4800.0,0.005
Jaleel McLaughlin,RB,DEN,KC,3.24,3.38,1.051,0.765,1.043,13.397,2.6,4000.0,0.005
