Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership,Game_ID,Simulated_Mean,Simulated_Median,Simulated_85th,Ceiling_95th,Ceiling_99th,Boom_Percentage
Calvin Austin III,WR,PIT,ATL,5.32,6.31,1.188,0.702,1.186,25.01,5.34,3700.0,0.005,ATL_PIT,5.92,5.5,11.05,14.32,17.82,0.0
Emanuel Wilson,RB,GB,MIN,2.91,3.19,1.12,0.544,1.096,12.644,6.71,4100.0,0.005,GB_MIN,4.46,3.06,9.9,14.23,18.64,0.02
Jordan Mason,RB,MIN,GB,5.07,5.68,1.12,0.56,1.12,22.513,5.5,5400.0,0.005,GB_MIN,5.56,4.98,10.57,14.13,17.63,0.0
Moliki Matavao,TE,NO,DET,4.14,4.65,1.125,1.0,1.123,18.43,6.09,2500.0,0.005,DET_NO,5.03,4.04,10.47,14.06,18.8,0.04
Tanner McKee,QB,PHI,WAS,3.53,4.41,1.22,0.0,1.249,17.479,6.27,4000.0,0.005,PHI_WAS,4.7,3.55,10.14,14.01,18.72,0.06
Emari Demercado,RB,ARI,LAC,6.92,7.63,1.12,0.633,1.103,30.242,4.3,4000.0,0.005,ARI_LAC,6.99,6.93,11.34,14.0,17.03,0.0
Tyler Allgeier,RB,ATL,PIT,5.28,5.98,1.132,0.686,1.133,23.702,5.35,4900.0,0.005,ATL_PIT,5.68,5.3,10.73,13.94,17.36,0.02
Andrei Iosivas,WR,CIN,TB,5.42,5.96,1.097,0.775,1.1,23.623,5.18,3300.0,0.005,CIN_TB,5.78,5.4,10.75,13.91,17.7,0.0
Dillon Gabriel,QB,CLE,JAX,1.84,1.95,1.12,0.0,1.06,7.729,7.22,4000.0,0.005,CLE_JAX,3.8,1.7,9.15,13.76,18.42,0.1
Xavier Legette,WR,CAR,CHI,2.98,3.54,1.188,0.708,1.188,14.031,6.71,3700.0,0.005,CAR_CHI,4.34,2.89,9.77,13.74,18.53,0.08
Darnell Mooney,WR,ATL,PIT,7.71,9.99,1.286,0.685,1.296,39.596,3.83,4000.0,0.005,ATL_PIT,7.64,7.65,11.46,13.73,16.33,0.0
Kendall Milton,RB,CIN,TB,0.2,0.22,1.095,1.0,1.1,0.872,8.22,4000.0,0.005,CIN_TB,3.34,0.08,8.4,13.69,20.16,0.16
Tyler Higbee,TE,LAR,SF,4.39,4.85,1.098,0.781,1.105,19.223,5.66,3200.0,0.005,LAR_SF,5.12,4.37,10.31,13.57,16.93,0.02
Jarquez Hunter,RB,LAR,SF,0.0,0.0,1.095,1.0,1.0,0.0,8.22,4000.0,0.005,LAR_SF,3.36,0.22,8.67,13.54,20.2,0.06
Jarrett Stidham,QB,DEN,KC,3.13,4.09,1.32,0.0,1.307,16.211,6.17,4300.0,0.005,DEN_KC,4.26,2.96,9.59,13.54,16.85,0.02
Shane Zylstra,TE,DET,NO,3.3,3.71,1.125,1.0,1.124,14.705,6.09,2500.0,0.005,DET_NO,4.44,3.26,9.77,13.45,17.47,0.02
Drake Dabney,TE,GB,MIN,3.18,4.06,1.325,1.0,1.277,16.092,6.09,2500.0,0.005,GB_MIN,4.4,3.28,9.56,13.44,17.33,0.02
Tyquan Thornton,WR,KC,DEN,3.93,4.19,1.089,0.714,1.066,16.607,5.71,3500.0,0.005,DEN_KC,4.85,4.01,9.99,13.42,17.44,0.02
Trey Lance,QB,LAC,ARI,6.86,10.13,1.45,0.0,1.477,40.151,3.9,4000.0,0.005,ARI_LAC,6.88,6.76,10.83,13.39,16.11,0.0
Lew Nichols III,RB,PIT,ATL,0.0,0.0,1.095,1.0,1.0,0.0,8.22,4000.0,0.005,ATL_PIT,3.26,0.0,8.4,13.39,18.58,0.1
Will Mallory,TE,IND,BAL,3.2,3.62,1.125,1.0,1.131,14.348,6.09,2500.0,0.005,BAL_IND,4.34,3.02,9.63,13.36,17.75,0.04
Kalif Raymond,WR,DET,NO,5.85,6.45,1.103,0.827,1.103,25.565,4.5,3300.0,0.005,DET_NO,6.07,5.89,10.65,13.34,16.56,0.02
Marvin Harrison Jr.,WR,ARI,LAC,2.09,2.21,1.08,0.643,1.057,8.759,7.03,5000.0,0.005,ARI_LAC,3.93,2.1,9.23,13.33,18.3,0.06
T.J. Hockenson,TE,MIN,GB,6.37,7.7,1.193,0.744,1.209,30.519,4.04,3300.0,0.005,GB_MIN,6.45,6.3,10.51,13.16,15.59,0.0
Dawson Knox,TE,BUF,HOU,5.21,5.92,1.195,0.759,1.136,23.464,4.67,3100.0,0.005,BUF_HOU,5.49,5.1,10.09,13.11,16.11,0.0
Tommy Tremble,TE,CAR,CHI,5.97,6.52,1.091,0.729,1.092,25.842,4.39,2900.0,0.005,CAR_CHI,6.12,5.97,10.42,13.04,16.37,0.0
Jordan Addison,WR,MIN,GB,3.66,4.37,1.178,0.623,1.194,17.321,5.66,5800.0,0.005,GB_MIN,4.53,3.59,9.54,13.04,16.77,0.0
Isaiah Likely,TE,BAL,IND,6.25,7.48,1.195,0.762,1.197,29.647,4.1,4300.0,0.005,BAL_IND,6.41,6.29,10.47,12.98,15.65,0.0
Jaydon Blue,RB,DAL,NYG,4.67,5.32,1.12,0.652,1.139,21.086,4.97,4000.0,0.005,DAL_NYG,5.16,4.71,9.88,12.96,16.18,0.0
Brittain Brown,RB,CHI,CAR,1.45,1.53,1.047,0.767,1.055,6.064,6.86,4000.0,0.005,CAR_CHI,3.56,1.49,8.59,12.95,17.57,0.02
Rashid Shaheed,WR,SEA,NE,3.59,4.22,1.182,0.654,1.175,16.726,5.4,4400.0,0.005,NE_SEA,4.48,3.61,9.47,12.94,16.15,0.0
Isaiah Davis,RB,NYJ,TEN,4.7,5.06,1.057,0.736,1.077,20.055,4.84,4200.0,0.005,NYJ_TEN,5.1,4.69,9.64,12.64,16.03,0.0
Cole Kmet,TE,CHI,CAR,6.56,7.27,1.097,0.777,1.108,28.815,3.71,3300.0,0.005,CAR_CHI,6.51,6.44,10.4,12.52,15.39,0.0
DeMario Douglas,WR,NE,SEA,4.48,5.2,1.197,0.777,1.161,20.61,5.17,3300.0,0.005,NE_SEA,4.94,4.37,9.67,12.51,16.0,0.0
Ja'Tavion Sanders,TE,CAR,CHI,5.95,6.53,1.096,0.765,1.097,25.882,3.84,2700.0,0.005,CAR_CHI,6.12,5.97,9.99,12.39,15.09,0.0
Lil'Jordan Humphrey,WR,DEN,KC,4.32,5.07,1.184,0.669,1.174,20.095,4.99,3200.0,0.005,DEN_KC,4.76,4.24,9.3,12.31,15.79,0.0
Kendrick Bourne,WR,SF,LA,1.17,1.24,1.09,0.72,1.06,4.915,6.85,3600.0,0.005,LA_SF,3.37,1.31,8.44,12.25,16.8,0.02
Ray Davis,RB,BUF,HOU,2.55,2.57,1.032,0.68,1.008,10.186,6.01,4600.0,0.005,BUF_HOU,3.88,2.57,8.76,12.23,16.4,0.02
Brady Cook,QB,NYJ,TEN,7.07,9.62,1.32,0.79,1.361,38.129,3.11,4000.0,0.005,NYJ_TEN,7.07,7.07,10.25,12.23,14.19,0.0
Jeshaun Jones,WR,MIN,GB,0.0,0.0,1.125,1.0,1.0,0.0,7.32,3000.0,0.005,GB_MIN,2.96,0.0,7.86,12.18,17.08,0.04
Jakobi Meyers,WR,JAX,CLE,4.48,5.61,1.291,0.731,1.252,22.235,4.72,5000.0,0.005,CLE_JAX,4.81,4.33,9.28,12.17,15.64,0.0
Chris Blair,WR,ATL,PIT,0.0,0.0,1.125,1.0,1.0,0.0,7.32,3000.0,0.005,ATL_PIT,2.97,0.05,7.79,12.09,17.38,0.08
Dalevon Campbell,WR,CAR,CHI,0.0,0.0,1.125,1.0,1.0,0.0,7.32,3000.0,0.005,CAR_CHI,2.9,0.08,7.45,12.03,17.21,0.0
Cedric Tillman,WR,CLE,JAX,4.52,4.72,1.097,0.777,1.044,18.708,4.59,3400.0,0.005,CLE_JAX,4.9,4.51,9.3,12.01,15.3,0.0
Olamide Zaccheaus,WR,CHI,CAR,4.67,5.16,1.094,0.753,1.105,20.452,4.43,3500.0,0.005,CAR_CHI,5.13,4.76,9.52,12.0,15.1,0.0
Trey Benson,RB,ARI,LAC,10.2,11.29,1.125,0.552,1.107,44.748,1.05,4400.0,0.005,ARI_LAC,10.19,10.19,11.29,11.94,12.58,0.0
Kaden Davis,WR,CLE,JAX,0.0,0.0,1.125,1.0,1.0,0.0,7.32,3000.0,0.005,CLE_JAX,2.88,0.0,7.45,11.92,17.05,0.04
Tutu Atwell,WR,LAR,SF,2.43,2.72,1.113,0.907,1.119,10.781,5.69,3700.0,0.005,LAR_SF,3.63,2.42,8.29,11.79,15.61,0.0
Bhayshul Tuten,RB,JAX,CLE,4.0,4.13,1.051,0.763,1.032,16.369,4.76,5800.0,0.005,CLE_JAX,4.52,3.99,8.84,11.76,15.19,0.0
Mo Alie-Cox,TE,IND,BAL,6.57,7.35,1.109,0.874,1.119,29.132,3.17,2500.0,0.005,BAL_IND,6.61,6.56,9.96,11.71,13.89,0.0
Isiah Pacheco,RB,KC,DEN,5.21,6.38,1.238,0.604,1.225,25.287,3.89,5000.0,0.005,DEN_KC,5.37,5.21,9.25,11.66,14.19,0.0
Xavier Worthy,WR,KC,DEN,4.1,4.8,1.196,0.767,1.171,19.025,4.52,4500.0,0.005,DEN_KC,4.5,4.02,8.85,11.47,14.74,0.0
Elijah Higgins,TE,ARI,LAC,4.65,5.43,1.193,0.744,1.168,21.522,3.95,2500.0,0.005,ARI_LAC,4.86,4.64,8.66,11.15,13.96,0.0
Michael Bandy,WR,DEN,KC,4.66,5.13,1.114,0.911,1.101,20.333,3.79,3000.0,0.005,DEN_KC,4.95,4.74,8.7,11.11,13.6,0.0
Brock Wright,TE,DET,NO,4.23,5.04,1.193,0.744,1.191,19.976,4.21,2900.0,0.005,DET_NO,4.48,4.06,8.5,11.06,13.88,0.0
Tyrell Shavers,WR,BUF,HOU,2.76,2.88,1.096,0.77,1.043,11.415,5.13,3000.0,0.005,BUF_HOU,3.7,2.82,7.98,11.05,14.94,0.0
Roman Wilson,WR,PIT,ATL,1.08,1.19,1.106,0.846,1.102,4.717,6.11,3100.0,0.005,ATL_PIT,2.97,1.05,7.15,11.02,14.9,0.0
Pat Bryant,WR,DEN,KC,4.24,4.59,1.094,0.752,1.083,18.193,4.0,4200.0,0.005,DEN_KC,4.5,4.23,8.37,10.83,13.79,0.0
Gunnar Helm,TE,TEN,NYJ,4.28,4.85,1.101,0.805,1.133,19.223,3.99,3200.0,0.005,NYJ_TEN,4.57,4.33,8.44,10.81,13.39,0.0
Grant Calcaterra,TE,PHI,WAS,5.65,6.43,1.11,0.877,1.138,25.486,3.08,2500.0,0.005,PHI_WAS,5.64,5.58,8.85,10.8,12.79,0.0
Evan Engram,TE,DEN,KC,4.46,5.29,1.199,0.792,1.186,20.967,3.88,3400.0,0.005,DEN_KC,4.68,4.45,8.57,10.76,13.17,0.0
Kendre Miller,RB,NO,DET,4.21,4.79,1.143,0.749,1.138,18.985,3.91,4000.0,0.005,DET_NO,4.43,4.16,8.18,10.59,13.12,0.0
Joe Milton III,QB,DAL,NYG,4.28,5.19,1.22,0.104,1.213,20.571,3.73,4000.0,0.005,DAL_NYG,4.53,4.31,8.16,10.48,13.02,0.0
Tanner Hudson,TE,CIN,TB,5.14,5.7,1.105,0.844,1.109,22.592,3.15,2500.0,0.005,CIN_TB,5.22,5.15,8.48,10.36,12.38,0.0
Brashard Smith,RB,KC,DEN,3.82,3.87,1.025,0.593,1.013,15.339,4.01,4000.0,0.005,DEN_KC,4.12,3.72,7.83,10.34,12.9,0.0
Hayden Rucci,TE,MIA,LV,0.0,0.0,1.125,1.0,1.0,0.0,6.09,2500.0,0.005,LV_MIA,2.41,0.0,6.33,10.3,14.24,0.0
Tre Harris,WR,LAC,ARI,5.65,6.87,1.194,0.749,1.216,27.229,2.79,3800.0,0.005,ARI_LAC,5.7,5.69,8.6,10.27,12.06,0.0
Jeremy McNichols,RB,WAS,PHI,3.83,3.97,1.061,0.743,1.037,15.735,3.79,4300.0,0.005,PHI_WAS,4.16,3.93,7.72,10.13,12.59,0.0
Terrance Ferguson,TE,LAR,SF,2.1,2.33,1.104,0.835,1.11,9.235,4.94,3000.0,0.005,LAR_SF,3.2,2.17,7.18,10.05,13.22,0.0
Luke McCaffrey,WR,WAS,PHI,1.17,1.21,1.096,0.771,1.034,4.796,5.3,3500.0,0.005,PHI_WAS,2.78,1.21,6.6,10.0,13.44,0.0
Rashod Bateman,WR,BAL,IND,2.08,2.26,1.09,0.717,1.087,8.958,4.82,3900.0,0.005,BAL_IND,3.14,2.16,7.03,9.96,13.16,0.0
Chris Oladokun,QB,KC,DEN,1.97,2.35,1.22,0.063,1.193,9.314,4.86,4000.0,0.005,DEN_KC,3.13,2.11,7.06,9.92,13.28,0.0
E.J. Jenkins,TE,PHI,WAS,0.0,0.0,1.125,1.0,1.0,0.0,6.09,2500.0,0.005,PHI_WAS,2.4,0.01,6.24,9.91,14.62,0.02
Tim Patrick,WR,JAX,CLE,0.63,0.67,1.095,0.761,1.063,2.656,5.58,3000.0,0.005,CLE_JAX,2.56,0.64,6.37,9.9,13.36,0.0
Thomas Fidone II,TE,NYG,DAL,0.0,0.0,1.125,1.0,1.0,0.0,6.09,2500.0,0.005,DAL_NYG,2.43,0.05,6.3,9.88,14.05,0.02
Princeton Fant,TE,DAL,NYG,0.0,0.0,1.125,1.0,1.0,0.0,6.09,2500.0,0.005,DAL_NYG,2.39,0.04,6.2,9.76,14.12,0.0
Dyami Brown,WR,JAX,CLE,0.79,0.83,1.087,0.694,1.051,3.29,5.36,3200.0,0.005,CLE_JAX,2.53,0.75,6.32,9.65,13.02,0.0
Darnell Washington,TE,PIT,ATL,4.42,4.83,1.094,0.756,1.093,19.144,3.16,3000.0,0.005,ATL_PIT,4.48,4.29,7.66,9.65,12.0,0.0
Andy Dalton,QB,CAR,CHI,5.14,5.76,1.12,0.0,1.121,22.83,2.68,4000.0,0.005,CAR_CHI,5.2,5.16,7.9,9.6,11.35,0.0
Noah Fant,TE,CIN,TB,1.54,1.7,1.094,0.753,1.104,6.738,4.73,3200.0,0.005,CIN_TB,2.73,1.48,6.41,9.38,12.87,0.0
Mason Tipton,WR,NO,DET,3.49,3.84,1.101,0.809,1.1,15.22,3.35,3000.0,0.005,DET_NO,3.78,3.5,7.01,9.16,11.39,0.0
Zavier Scott,RB,MIN,GB,1.57,1.65,1.052,0.723,1.051,6.54,4.67,4000.0,0.005,GB_MIN,2.67,1.5,6.25,9.04,11.97,0.0
Stone Smartt,TE,NYJ,TEN,3.31,3.73,1.094,0.751,1.127,14.784,3.47,2500.0,0.005,NYJ_TEN,3.61,3.29,6.91,9.01,11.26,0.0
Drew Sample,TE,CIN,TB,4.25,4.73,1.11,0.884,1.113,18.748,2.85,2600.0,0.005,CIN_TB,4.32,4.21,7.23,8.92,10.83,0.0
John Bates,TE,WAS,PHI,4.64,4.84,1.099,0.792,1.043,19.184,2.65,2500.0,0.005,PHI_WAS,4.67,4.65,7.36,8.92,10.7,0.0
Chris Moore,WR,WAS,PHI,1.74,1.8,1.087,0.7,1.034,7.134,4.32,3000.0,0.005,PHI_WAS,2.74,1.74,6.26,8.91,11.93,0.0
Kyle Williams,WR,NE,SEA,1.27,1.35,1.1,0.8,1.063,5.351,4.68,3100.0,0.005,NE_SEA,2.54,1.18,6.1,8.87,12.45,0.0
Jack Bech,WR,LV,MIA,3.38,4.13,1.193,0.743,1.222,16.369,3.17,3600.0,0.005,LV_MIA,3.63,3.33,6.68,8.75,10.95,0.0
